('Total Revenue', '254,190,000.00', '245,122,000.00', '211,915,000.00', '198,270,000.00', '168,088,000.00')
         678126 function calls (659768 primitive calls) in 1.897 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      160    0.001    0.000    0.025    0.000 <frozen importlib._bootstrap_external>:1062(get_code)
        1    0.000    0.000    0.024    0.024 _base_connection.py:1(<module>)
    24882    0.023    0.000    0.023    0.000 {method 'match' of 're.Pattern' objects}
        1    0.000    0.000    0.021    0.021 connectionpool.py:1(<module>)
       41    0.000    0.000    0.021    0.001 response.py:469(_decode)
       42    0.002    0.000    0.021    0.000 response.py:122(decompress)
        1    0.000    0.000    0.019    0.019 ssl_.py:1(<module>)
       41    0.019    0.000    0.019    0.000 {method 'decompress' of 'zlib.Decompress' objects}
        1    0.000    0.000    0.019    0.019 client.py:1(<module>)
        1    0.000    0.000    0.018    0.018 _request_methods.py:1(<module>)
        1    0.000    0.000    0.018    0.018 css_parser.py:316(__init__)
        1    0.000    0.000    0.017    0.017 url.py:1(<module>)
        3    0.000    0.000    0.016    0.005 response.py:1(<module>)
        2    0.000    0.000    0.016    0.008 connection.py:1(<module>)
       14    0.000    0.000    0.015    0.001 css_parser.py:1135(process_selectors)
    52/14    0.001    0.000    0.015    0.001 css_parser.py:911(parse_selectors)
     2577    0.010    0.000    0.015    0.000 __init__.py:295(_replace_cdata_list_attribute_values)
        2    0.000    0.000    0.015    0.008 parser.py:1(<module>)
      160    0.002    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:751(_compile_bytecode)
      210    0.001    0.000    0.014    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
      160    0.012    0.000    0.012    0.000 {built-in method marshal.loads}
      192    0.000    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:1520(find_spec)
      192    0.001    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:1491(_get_spec)
    42/30    0.000    0.000    0.012    0.000 css_parser.py:569(parse_pseudo_class)
    38/29    0.000    0.000    0.012    0.000 css_parser.py:732(parse_pseudo_open)
     2679    0.004    0.000    0.011    0.000 __init__.py:620(object_was_parsed)
        1    0.000    0.000    0.011    0.011 feedparser.py:1(<module>)
        1    0.000    0.000    0.011    0.011 compat.py:1(<module>)
        4    0.001    0.000    0.010    0.003 element.py:792(_find_all)
        3    0.000    0.000    0.010    0.003 utils.py:1(<module>)
        3    0.000    0.000    0.010    0.003 element.py:2013(find_all)
      407    0.003    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:1593(find_spec)
     2694    0.003    0.000    0.010    0.000 parser.py:345(check_for_whole_start_tag)
        2    0.000    0.000    0.010    0.005 element.py:1987(find)
        1    0.000    0.000    0.010    0.010 _policybase.py:1(<module>)
      895    0.006    0.000    0.010    0.000 _compiler.py:243(_optimize_charset)
    71081    0.010    0.000    0.010    0.000 {method 'append' of 'list' objects}
     2693    0.005    0.000    0.010    0.000 __init__.py:688(_popToTag)
    23172    0.006    0.000    0.010    0.000 _parser.py:168(__getitem__)
56164/51420    0.008    0.000    0.009    0.000 {built-in method builtins.len}
54928/54924    0.008    0.000    0.009    0.000 {built-in method builtins.isinstance}
        1    0.000    0.000    0.009    0.009 cd.py:1(<module>)
     2679    0.003    0.000    0.008    0.000 element.py:943(__new__)
    10759    0.005    0.000    0.008    0.000 _markupbase.py:44(updatepos)
    14817    0.005    0.000    0.008    0.000 _parser.py:261(get)
        1    0.000    0.000    0.008    0.008 _htmlparser.py:323(prepare_markup)
        1    0.000    0.000    0.008    0.008 dammit.py:541(__init__)
        1    0.000    0.000    0.008    0.008 cookiejar.py:1(<module>)
     2775    0.002    0.000    0.008    0.000 element.py:2303(search)
     8053    0.008    0.000    0.008    0.000 element.py:156(setup)
        1    0.000    0.000    0.007    0.007 dammit.py:646(_convert_from)
        1    0.007    0.007    0.007    0.007 dammit.py:677(_to_unicode)
 3976/367    0.004    0.000    0.007    0.000 _parser.py:178(getwidth)
     5895    0.001    0.000    0.007    0.000 __init__.py:122(unescape)
      160    0.000    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:1183(get_data)
        2    0.000    0.000    0.007    0.003 models.py:1(<module>)
  187/184    0.000    0.000    0.007    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
      188    0.001    0.000    0.006    0.000 _compiler.py:511(_compile_info)
     8093    0.006    0.000    0.006    0.000 {method 'search' of 're.Pattern' objects}
        1    0.000    0.000    0.006    0.006 css_match.py:1(<module>)
      722    0.002    0.000    0.006    0.000 {method 'sub' of 're.Pattern' objects}
    14051    0.006    0.000    0.006    0.000 {method 'group' of 're.Match' objects}
     3109    0.001    0.000    0.005    0.000 {built-in method builtins.next}
     2695    0.004    0.000    0.005    0.000 __init__.py:572(pushTag)
3336/3310    0.005    0.000    0.005    0.000 {built-in method __new__ of type object at 0xa43b40}
      174    0.000    0.000    0.005    0.000 _parser.py:98(closegroup)
       77    0.001    0.000    0.005    0.000 css_parser.py:462(parse_attribute_selector)
      212    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap>:416(__enter__)
    19207    0.005    0.000    0.005    0.000 {method 'get' of 'dict' objects}
        1    0.000    0.000    0.004    0.004 ssl.py:1(<module>)
     1451    0.001    0.000    0.004    0.000 element.py:2240(search_tag)
       10    0.001    0.000    0.004    0.000 enum.py:919(_convert_)
        1    0.000    0.000    0.004    0.004 _htmlparser.py:1(<module>)
      325    0.001    0.000    0.004    0.000 css_parser.py:1094(selector_iter)
    22023    0.004    0.000    0.004    0.000 _parser.py:240(__next)
       16    0.002    0.000    0.004    0.000 enum.py:1708(convert_class)
        1    0.000    0.000    0.004    0.004 socket.py:1(<module>)
        2    0.000    0.000    0.004    0.002 abc.py:1(<module>)
      839    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
    14401    0.004    0.000    0.004    0.000 {method 'lower' of 'str' objects}
     7953    0.004    0.000    0.004    0.000 {method 'count' of 'str' objects}
    11421    0.003    0.000    0.004    0.000 _parser.py:256(match)
     1934    0.003    0.000    0.004    0.000 __init__.py:91(_replace_charref)
     2694    0.003    0.000    0.004    0.000 __init__.py:558(popTag)
      472    0.003    0.000    0.004    0.000 css_types.py:41(__init__)
