('Total Revenue', '254,190,000.00', '245,122,000.00', '211,915,000.00', '198,270,000.00', '168,088,000.00')
         588972 function calls (574116 primitive calls) in 8.679 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      872    0.002    0.000    0.004    0.000 {method '_checkReadable' of '_io._IOBase' objects}
      872    0.004    0.000    7.928    0.009 ssl.py:1095(read)
      872    0.010    0.000    7.939    0.009 ssl.py:1237(recv_into)
      872    7.923    0.009    7.923    0.009 {method 'read' of '_ssl._SSLSocket' objects}
      872    0.008    0.000    7.953    0.009 socket.py:693(readinto)
      845    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
      829    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
      829    0.000    0.000    0.000    0.000 <frozen abc>:117(__instancecheck__)
  796/337    0.001    0.000    0.003    0.000 element.py:2336(_matches)
      721    0.002    0.000    0.006    0.000 {method 'sub' of 're.Pattern' objects}
      669    0.001    0.000    0.001    0.000 _parser.py:372(_escape)
      644    0.000    0.000    0.000    0.000 element.py:2203(_normalize_search_value)
      626    0.000    0.000    0.000    0.000 {built-in method fromkeys}
      623    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
      619    0.001    0.000    0.001    0.000 _parser.py:449(_uniq)
      585    0.000    0.000    0.001    0.000 _compiler.py:398(_simple)
      568    0.000    0.000    0.001    0.000 {built-in method builtins.setattr}
      559    0.000    0.000    0.000    0.000 _parser.py:83(groups)
      556    0.001    0.000    0.001    0.000 _compiler.py:216(_compile_charset)
      556    0.005    0.000    0.007    0.000 _compiler.py:243(_optimize_charset)
      525    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
      525    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
  497/496    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
      490    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      484    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
      472    0.002    0.000    0.003    0.000 css_types.py:41(__init__)
      462    0.000    0.000    0.000    0.000 css_types.py:73(__hash__)
      440    0.000    0.000    0.000    0.000 socket.py:94(<lambda>)
      439    0.000    0.000    0.000    0.000 socket.py:89(<lambda>)
      438    0.000    0.000    0.000    0.000 socket.py:84(<lambda>)
      437    0.000    0.000    0.000    0.000 socket.py:79(<lambda>)
      412    0.000    0.000    0.000    0.000 _parser.py:265(getwhile)
      409    0.002    0.000    0.002    0.000 {built-in method posix.stat}
      409    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
      401    0.000    0.000    0.000    0.000 enum.py:1129(__new__)
      401    0.000    0.000    0.001    0.000 enum.py:726(__call__)
      368    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
      347    0.000    0.000    0.000    0.000 enum.py:850(__setattr__)
      338    0.000    0.000    0.000    0.000 enum.py:48(_is_dunder)
      325    0.001    0.000    0.004    0.000 css_parser.py:1094(selector_iter)
      316    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
      311    0.000    0.000    0.000    0.000 css_parser.py:302(get_name)
      308    0.000    0.000    0.000    0.000 css_parser.py:238(css_unescape)
      306    0.000    0.000    0.000    0.000 enum.py:59(_is_sunder)
      306    0.000    0.000    0.000    0.000 enum.py:79(_is_private)
      302    0.000    0.000    0.000    0.000 _compiler.py:570(isstring)
      302    0.001    0.000    0.002    0.000 enum.py:1562(__and__)
      296    0.000    0.000    0.000    0.000 enum.py:38(_is_descriptor)
      289    0.004    0.000    0.074    0.000 {built-in method builtins.__build_class__}
      288    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1226(__exit__)
      288    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1222(__enter__)
      288    0.000    0.000    0.000    0.000 enum.py:1185(__init__)
      273    0.000    0.000    0.000    0.000 css_parser.py:334(match)
      271    0.000    0.000    0.000    0.000 _compiler.py:428(_get_iscased)
      270    0.000    0.000    0.000    0.000 enum.py:241(__set_name__)
      270    0.000    0.000    0.000    0.000 types.py:192(__init__)
      266    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
      266    0.000    0.000    0.000    0.000 element.py:1543(get)
      263    0.002    0.000    0.089    0.000 __init__.py:280(_compile)
      263    0.000    0.000    0.089    0.000 __init__.py:226(compile)
      262    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      262    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
      259    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      246    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
      237    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1469(_path_importer_cache)
      237    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
   230/11    0.000    0.000    0.155    0.014 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
      202    0.000    0.000    0.000    0.000 {built-in method builtins.any}
      195    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1593(find_spec)
      195    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:71(_relax_case)
      189    0.000    0.000    0.001    0.000 css_types.py:360(__init__)
  174/143    0.000    0.000    0.000    0.000 _compiler.py:436(_get_literal_prefix)
      174    0.000    0.000    0.000    0.000 _compiler.py:31(_combine_flags)
      169    0.000    0.000    0.000    0.000 typing.py:1134(_is_dunder)
      166    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:632(cached)
      163    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
      160    0.000    0.000    0.000    0.000 typing.py:1188(__setattr__)
      158    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:482(cache_from_source)
      158    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
      156    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
      153    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
      151    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
      151    0.000    0.000    0.052    0.000 _parser.py:969(parse)
      151    0.001    0.000    0.005    0.000 _compiler.py:511(_compile_info)
      151    0.001    0.000    0.085    0.001 _compiler.py:740(compile)
      151    0.000    0.000    0.032    0.000 _compiler.py:573(_code)
      151    0.000    0.000    0.000    0.000 _parser.py:77(__init__)
      151    0.000    0.000    0.000    0.000 _parser.py:953(fix_flags)
      151    0.000    0.000    0.000    0.000 _parser.py:231(__init__)
      147    0.000    0.000    0.000    0.000 enum.py:202(__get__)
      146    0.000    0.000    0.000    0.000 enum.py:1292(value)
      141    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:645(parent)
  136/131    0.000    0.000    0.003    0.000 css_parser.py:385(freeze)
      136    0.000    0.000    0.001    0.000 css_parser.py:359(__init__)
      136    0.000    0.000    0.002    0.000 css_types.py:203(__init__)
  136/131    0.000    0.000    0.001    0.000 css_parser.py:375(_freeze_relations)
      133    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
      131    0.000    0.000    0.000    0.000 {built-in method _weakref._remove_dead_weakref}
      131    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
      131    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:372(release)
      131    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:304(acquire)
      131    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
      131    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:162(__enter__)
      131    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:158(__init__)
      131    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:124(setdefault)
      131    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:82(remove)
      131    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:79(__init__)
      131    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:74(__new__)
      130    0.000    0.000    0.000    0.000 {method 'isascii' of 'str' objects}
      130    0.000    0.000    0.000    0.000 enum.py:942(<lambda>)
      126    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
      126    0.000    0.000    0.000    0.000 ssl.py:125(<lambda>)
      126    0.000    0.000    0.000    0.000 ssl.py:130(<lambda>)
      126    0.000    0.000    0.000    0.000 ssl.py:135(<lambda>)
      126    0.000    0.000    0.000    0.000 ssl.py:140(<lambda>)
      126    0.000    0.000    0.000    0.000 ssl.py:145(<lambda>)
      126    0.000    0.000    0.000    0.000 ssl.py:150(<lambda>)
      125    0.000    0.000    0.005    0.000 _parser.py:98(closegroup)
      125    0.000    0.000    0.000    0.000 _parser.py:86(opengroup)
      120    0.000    0.000    0.002    0.000 _htmlparser.py:241(handle_comment)
      120    0.000    0.000    0.002    0.000 _markupbase.py:165(parse_comment)
      118    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
      117    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
      113    0.000    0.000    0.000    0.000 {method 'isdigit' of 'str' objects}
      110    0.000    0.000    0.000    0.000 ipaddress.py:574(__int__)
      108    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
      107    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
    107/5    0.001    0.000    0.157    0.031 <frozen importlib._bootstrap>:1349(_find_and_load)
    107/5    0.000    0.000    0.156    0.031 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
      107    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:420(__exit__)
      107    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:416(__enter__)
      107    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:412(__init__)
      107    0.000    0.000    0.000    0.000 constant.py:397(<lambda>)
      106    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
      106    0.000    0.000    0.000    0.000 <frozen os>:703(__iter__)
