('Total Revenue', '254,190,000.00', '245,122,000.00', '211,915,000.00', '198,270,000.00', '168,088,000.00')
         678362 function calls (659984 primitive calls) in 8.725 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    11421    0.003    0.000    0.004    0.000 _parser.py:256(match)
    14401    0.004    0.000    0.004    0.000 {method 'lower' of 'str' objects}
      842    0.004    0.000    0.004    0.000 {built-in method posix.stat}
     7953    0.003    0.000    0.003    0.000 {method 'count' of 'str' objects}
      472    0.002    0.000    0.003    0.000 css_types.py:41(__init__)
  157/148    0.000    0.000    0.003    0.000 typing.py:392(inner)
     2694    0.003    0.000    0.003    0.000 __init__.py:558(popTag)
      254    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:304(acquire)
        1    0.000    0.000    0.003    0.003 _htmlparser.py:323(prepare_markup)
        1    0.000    0.000    0.003    0.003 dammit.py:541(__init__)
    13039    0.003    0.000    0.003    0.000 {method 'startswith' of 'str' objects}
     2180    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
      187    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
  136/131    0.000    0.000    0.003    0.000 css_parser.py:385(freeze)
     9514    0.002    0.000    0.003    0.000 _parser.py:164(__len__)
        1    0.000    0.000    0.003    0.003 dammit.py:646(_convert_from)
        1    0.003    0.003    0.003    0.003 dammit.py:677(_to_unicode)
      320    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:482(cache_from_source)
        1    0.000    0.000    0.003    0.003 css_types.py:1(<module>)
    14777    0.003    0.000    0.003    0.000 {method 'end' of 're.Match' objects}
        1    0.000    0.000    0.003    0.003 _common.py:1(<module>)
        1    0.000    0.000    0.003    0.003 packages.py:1(<module>)
     2584    0.001    0.000    0.003    0.000 _htmlparser.py:178(handle_data)
        1    0.000    0.000    0.003    0.003 parse.py:1(<module>)
      9/7    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1287(create_module)
      9/7    0.002    0.000    0.003    0.000 {built-in method _imp.create_dynamic}
        1    0.000    0.000    0.003    0.003 header.py:1(<module>)
  796/337    0.001    0.000    0.002    0.000 element.py:2336(_matches)
        2    0.000    0.000    0.002    0.001 request.py:1(<module>)
     2173    0.002    0.000    0.002    0.000 {method 'findall' of 're.Pattern' objects}
        1    0.000    0.000    0.002    0.002 pretty.py:1(<module>)
        1    0.000    0.000    0.002    0.002 client.py:231(_parse_header_lines)
       17    0.001    0.000    0.002    0.000 __init__.py:355(namedtuple)
    10042    0.002    0.000    0.002    0.000 {built-in method builtins.min}
      160    0.002    0.000    0.002    0.000 {built-in method _io.open_code}
     1425    0.002    0.000    0.002    0.000 __init__.py:648(_linkage_fixer)
        1    0.000    0.000    0.002    0.002 parser.py:56(parsestr)
      329    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:632(cached)
     2481    0.001    0.000    0.002    0.000 css_parser.py:307(match)
        2    0.000    0.000    0.002    0.001 cookies.py:1(<module>)
        7    0.000    0.000    0.002    0.000 typing.py:2761(_make_nmtuple)
        6    0.000    0.000    0.002    0.000 typing.py:2780(__new__)
      376    0.001    0.000    0.002    0.000 enum.py:1562(__and__)
        1    0.000    0.000    0.002    0.002 parser.py:41(parse)
      169    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:611(_get_cached)
      120    0.000    0.000    0.002    0.000 _markupbase.py:165(parse_comment)
      254    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
     2679    0.001    0.000    0.002    0.000 __init__.py:523(string_container)
