('Total Revenue', '254,190,000.00', '245,122,000.00', '211,915,000.00', '198,270,000.00', '168,088,000.00')
         589082 function calls (574211 primitive calls) in 4.280 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.014    0.014 feedparser.py:1(<module>)
       79    0.001    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:1062(get_code)
        1    0.000    0.000    0.013    0.013 _policybase.py:1(<module>)
    42/30    0.000    0.000    0.012    0.000 css_parser.py:569(parse_pseudo_class)
     2679    0.005    0.000    0.012    0.000 __init__.py:620(object_was_parsed)
    38/29    0.000    0.000    0.012    0.000 css_parser.py:732(parse_pseudo_open)
        2    0.000    0.000    0.011    0.005 utils.py:1(<module>)
     2694    0.003    0.000    0.011    0.000 parser.py:345(check_for_whole_start_tag)
     2693    0.005    0.000    0.010    0.000 __init__.py:688(_popToTag)
        4    0.002    0.000    0.010    0.003 element.py:792(_find_all)
        3    0.000    0.000    0.010    0.003 element.py:2013(find_all)
        2    0.000    0.000    0.010    0.005 element.py:1987(find)
    61727    0.009    0.000    0.009    0.000 {method 'append' of 'list' objects}
        1    0.000    0.000    0.009    0.009 api.py:1(<module>)
    10759    0.005    0.000    0.009    0.000 _markupbase.py:44(updatepos)
     2679    0.003    0.000    0.009    0.000 element.py:943(__new__)
        1    0.000    0.000    0.009    0.009 cd.py:1(<module>)
       79    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:751(_compile_bytecode)
     8053    0.008    0.000    0.008    0.000 element.py:156(setup)
        1    0.000    0.000    0.008    0.008 _htmlparser.py:323(prepare_markup)
        1    0.000    0.000    0.008    0.008 dammit.py:541(__init__)
     2775    0.002    0.000    0.008    0.000 element.py:2303(search)
        1    0.000    0.000    0.008    0.008 dammit.py:646(_convert_from)
        1    0.008    0.008    0.008    0.008 dammit.py:677(_to_unicode)
      556    0.005    0.000    0.007    0.000 _compiler.py:243(_optimize_charset)
    18259    0.005    0.000    0.007    0.000 _parser.py:168(__getitem__)
       79    0.007    0.000    0.007    0.000 {built-in method marshal.loads}
46973/43042    0.006    0.000    0.007    0.000 {built-in method builtins.len}
     5895    0.002    0.000    0.007    0.000 __init__.py:122(unescape)
    47045    0.007    0.000    0.007    0.000 {built-in method builtins.isinstance}
      106    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
     8089    0.006    0.000    0.006    0.000 {method 'search' of 're.Pattern' objects}
    14051    0.006    0.000    0.006    0.000 {method 'group' of 're.Match' objects}
 3272/281    0.004    0.000    0.006    0.000 _parser.py:178(getwidth)
        1    0.000    0.000    0.006    0.006 css_match.py:1(<module>)
      721    0.002    0.000    0.006    0.000 {method 'sub' of 're.Pattern' objects}
       91    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1520(find_spec)
       91    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1491(_get_spec)
     2695    0.005    0.000    0.006    0.000 __init__.py:572(pushTag)
     9439    0.004    0.000    0.006    0.000 _parser.py:261(get)
      151    0.001    0.000    0.005    0.000 _compiler.py:511(_compile_info)
     3101    0.001    0.000    0.005    0.000 {built-in method builtins.next}
        1    0.000    0.000    0.005    0.005 models.py:1(<module>)
      195    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1593(find_spec)
       77    0.001    0.000    0.005    0.000 css_parser.py:462(parse_attribute_selector)
      125    0.000    0.000    0.005    0.000 _parser.py:98(closegroup)
   102/99    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
    18492    0.005    0.000    0.005    0.000 {method 'get' of 'dict' objects}
        1    0.000    0.000    0.004    0.004 ssl.py:1(<module>)
     1451    0.001    0.000    0.004    0.000 element.py:2240(search_tag)
       10    0.001    0.000    0.004    0.000 enum.py:919(_convert_)
        1    0.000    0.000    0.004    0.004 error.py:1(<module>)
3151/3128    0.004    0.000    0.004    0.000 {built-in method __new__ of type object at 0xa43b40}
        1    0.000    0.000    0.004    0.004 _htmlparser.py:1(<module>)
        1    0.000    0.000    0.004    0.004 response.py:1(<module>)
       16    0.002    0.000    0.004    0.000 enum.py:1708(convert_class)
      325    0.001    0.000    0.004    0.000 css_parser.py:1094(selector_iter)
        1    0.000    0.000    0.004    0.004 socket.py:1(<module>)
     7953    0.004    0.000    0.004    0.000 {method 'count' of 'str' objects}
     2694    0.003    0.000    0.004    0.000 __init__.py:558(popTag)
    14070    0.004    0.000    0.004    0.000 {method 'lower' of 'str' objects}
     1934    0.003    0.000    0.004    0.000 __init__.py:91(_replace_charref)
        1    0.000    0.000    0.004    0.004 tempfile.py:1(<module>)
      472    0.003    0.000    0.004    0.000 css_types.py:41(__init__)
        1    0.000    0.000    0.003    0.003 parse.py:1(<module>)
    14777    0.003    0.000    0.003    0.000 {method 'end' of 're.Match' objects}
  136/131    0.000    0.000    0.003    0.000 css_parser.py:385(freeze)
    11795    0.003    0.000    0.003    0.000 {method 'startswith' of 'str' objects}
     2584    0.001    0.000    0.003    0.000 _htmlparser.py:178(handle_data)
    15047    0.003    0.000    0.003    0.000 _parser.py:240(__next)
        1    0.000    0.000    0.003    0.003 css_types.py:1(<module>)
     7948    0.002    0.000    0.003    0.000 _parser.py:256(match)
      120    0.000    0.000    0.003    0.000 _markupbase.py:165(parse_comment)
      874    0.002    0.000    0.003    0.000 {method '_checkReadable' of '_io._IOBase' objects}
     4786    0.002    0.000    0.003    0.000 _parser.py:176(append)
  796/337    0.001    0.000    0.003    0.000 element.py:2336(_matches)
      8/6    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1287(create_module)
     2172    0.003    0.000    0.003    0.000 {method 'findall' of 're.Pattern' objects}
      8/6    0.002    0.000    0.003    0.000 {built-in method _imp.create_dynamic}
     1425    0.002    0.000    0.002    0.000 __init__.py:648(_linkage_fixer)
     7679    0.002    0.000    0.002    0.000 _parser.py:164(__len__)
       79    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1183(get_data)
        1    0.000    0.000    0.002    0.002 pretty.py:1(<module>)
      120    0.000    0.000    0.002    0.000 _htmlparser.py:241(handle_comment)
      107    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:416(__enter__)
        1    0.000    0.000    0.002    0.002 shutil.py:1(<module>)
        1    0.000    0.000    0.002    0.002 client.py:231(_parse_header_lines)
       56    0.000    0.000    0.002    0.000 _htmlparser.py:90(handle_startendtag)
     2679    0.001    0.000    0.002    0.000 __init__.py:523(string_container)
     2481    0.001    0.000    0.002    0.000 css_parser.py:307(match)
        1    0.000    0.000    0.002    0.002 parser.py:56(parsestr)
        1    0.000    0.000    0.002    0.002 header.py:1(<module>)
        1    0.000    0.000    0.002    0.002 socket.py:946(getaddrinfo)
        1    0.001    0.001    0.002    0.002 {built-in method _socket.getaddrinfo}
        2    0.000    0.000    0.002    0.001 __init__.py:71(search_function)
        1    0.000    0.000    0.002    0.002 parser.py:41(parse)
     8578    0.002    0.000    0.002    0.000 {built-in method builtins.min}
      136    0.000    0.000    0.002    0.000 css_types.py:203(__init__)
      131    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:304(acquire)
       97    0.001    0.000    0.002    0.000 _compiler.py:467(_get_charset_prefix)
      409    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
        1    0.000    0.000    0.002    0.002 hashlib.py:1(<module>)
     2694    0.001    0.000    0.002    0.000 element.py:1371(is_empty_element)
        8    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1295(exec_module)
      302    0.001    0.000    0.002    0.000 enum.py:1562(__and__)
      409    0.002    0.000    0.002    0.000 {built-in method posix.stat}
      979    0.001    0.000    0.002    0.000 _parser.py:312(_class_escape)
      102    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
      874    0.002    0.000    0.002    0.000 {method '_checkClosed' of '_io._IOBase' objects}
     2705    0.001    0.000    0.002    0.000 __init__.py:773(handle_data)
        8    0.002    0.000    0.002    0.000 {built-in method _imp.exec_dynamic}
        3    0.000    0.000    0.002    0.001 feedparser.py:171(feed)
     1032    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
     5247    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
      158    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:482(cache_from_source)
       51    0.000    0.000    0.001    0.000 parser.py:123(set_cdata_mode)
        1    0.000    0.000    0.001    0.001 ipaddress.py:1(<module>)
     5513    0.001    0.000    0.001    0.000 {method 'start' of 're.Match' objects}
        1    0.000    0.000    0.001    0.001 decoder.py:1(<module>)
     2956    0.001    0.000    0.001    0.000 _parser.py:293(tell)
        1    0.000    0.000    0.001    0.001 _parseaddr.py:1(<module>)
        4    0.000    0.000    0.001    0.000 feedparser.py:176(_call_parse)
     4165    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
        1    0.000    0.000    0.001    0.001 constant.py:1(<module>)
        4    0.000    0.000    0.001    0.000 feedparser.py:216(_parsegen)
        9    0.001    0.000    0.001    0.000 __init__.py:355(namedtuple)
      189    0.000    0.000    0.001    0.000 css_types.py:360(__init__)
       79    0.001    0.000    0.001    0.000 {built-in method _io.open_code}
      900    0.001    0.000    0.001    0.000 _parser.py:172(__setitem__)
    77/74    0.000    0.000    0.001    0.000 typing.py:392(inner)
      166    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:632(cached)
      556    0.001    0.000    0.001    0.000 _compiler.py:216(_compile_charset)
        1    0.000    0.000    0.001    0.001 idna.py:1(<module>)
       87    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:611(_get_cached)
        1    0.000    0.000    0.001    0.001 __init__.py:469(StrFormatStyle)
     5294    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
        1    0.000    0.000    0.001    0.001 __meta__.py:1(<module>)
      131    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:162(__enter__)
  136/131    0.000    0.000    0.001    0.000 css_parser.py:375(_freeze_relations)
        1    0.000    0.000    0.001    0.001 ssl.py:430(__new__)
       19    0.000    0.000    0.001    0.000 enum.py:528(__new__)
      585    0.000    0.000    0.001    0.000 _compiler.py:398(_simple)
     2695    0.001    0.000    0.001    0.000 __init__.py:205(can_be_empty_element)
        1    0.000    0.000    0.001    0.001 calendar.py:1(<module>)
      875    0.001    0.000    0.001    0.000 socket.py:732(readable)
      619    0.001    0.000    0.001    0.000 _parser.py:449(_uniq)
